Keyword,Name,Phone,Website,Address,Rating,Category,GoogleMapsURL
gyms in kelowna,Oxygen Yoga and Fitness Kelowna,(778) 478-1108,https://oxygenyogaandfitness.com/kelowna-location/,"1950 Harvey Ave #117, Kelowna, BC V1Y 8J8", stars,N/A,https://www.google.com/maps/place/Oxygen+Yoga+and+Fitness+Kelowna/data=!4m7!3m6!1s0x537d8cb4304cbcbf:0x8fcbc4c057308946!8m2!3d49.8827626!4d-119.4524523!16s%2Fg%2F11gdfzjw3d!19sChIJv7xMMLSMfVMRRokwV8DEy48?authuser=0&hl=en&rclk=1
gyms in kelowna,Sweat Studios - Kelowna,(778) 484-0476,http://www.sweatkelowna.com/,"529 Lawrence Ave, Kelowna, BC V1Y 6L8", stars,N/A,https://www.google.com/maps/place/Sweat+Studios+-+Kelowna/data=!4m7!3m6!1s0x537df562d1fa36c3:0x9fdcdb6f73fa5fff!8m2!3d49.8852764!4d-119.4923938!16s%2Fg%2F11tsj7v035!19sChIJwzb60WL1fVMR_1_6c2_b3J8?authuser=0&hl=en&rclk=1
gyms in kelowna,eSport Fitness,(250) 863-7764,https://esportfitness.ca/,"3396 Sexsmith Rd Warehouse #107, Kelowna, BC V1X 7S5", stars,N/A,https://www.google.com/maps/place/eSport+Fitness/data=!4m7!3m6!1s0x537df3d61ac00fa9:0x37fd775aba391231!8m2!3d49.9185881!4d-119.3928708!16s%2Fg%2F11p18prx3v!19sChIJqQ_AGtbzfVMRMRI5ulp3_Tc?authuser=0&hl=en&rclk=1
gyms in kelowna,Fitness Superstore,(250) 215-4452,http://www.fitness-superstore.ca/,"Online Sales only, 3418 Liard Ct, West Kelowna, BC V4T 1B6", stars,N/A,https://www.google.com/maps/place/Fitness+Superstore/data=!4m7!3m6!1s0x89d51d89e9a9cbe5:0x896683f86e36014!8m2!3d49.8391189!4d-119.6659417!16s%2Fg%2F1vbnqdd5!19sChIJ5cup6Ykd1YkRFGDjhj9olgg?authuser=0&hl=en&rclk=1
gyms in kelowna,West K Kickboxing Gym & Fitness Centre,(2),N/A,"2476 Westlake Rd, West Kelowna, BC V1Z 2V2", stars,N/A,https://www.google.com/maps/place/West+K+Kickboxing+Gym+%26+Fitness+Centre/data=!4m7!3m6!1s0x537df50078c7d111:0x100e37c2e0c275a5!8m2!3d49.8665332!4d-119.5672264!16s%2Fg%2F11lmf1zwy0!19sChIJEdHHeAD1fVMRpXXC4MI3DhA?authuser=0&hl=en&rclk=1
gyms in kelowna,Boechler Built Training & Nutrition,(28),http://boechler-built.com/,"1304 Water St, Kelowna, BC V1Y 9P3", stars,N/A,https://www.google.com/maps/place/Boechler+Built+Training+%26+Nutrition/data=!4m7!3m6!1s0x537df4a0b4a2ca79:0x975531b472b20da2!8m2!3d49.8918287!4d-119.4968291!16s%2Fg%2F11s78c75yw!19sChIJecqitKD0fVMRog2ycrQxVZc?authuser=0&hl=en&rclk=1
gyms in kelowna,GoodLife Fitness Kelowna Capri Centre,(250) 868-3788,https://www.goodlifefitness.com/clubs/club.237.html?utm_source=G&utm_medium=LPM&utm_campaign=GoodlifeFitness,"1835 Gordon Dr #119, Kelowna, BC V1Y 3H4", stars,N/A,https://www.google.com/maps/place/GoodLife+Fitness+Kelowna+Capri+Centre/data=!4m7!3m6!1s0x537d8caad657145f:0x8282fd070d02a25f!8m2!3d49.881468!4d-119.475248!16s%2Fg%2F1hc4by83m!19sChIJXxRX1qqMfVMRX6ICDQf9goI?authuser=0&hl=en&rclk=1
gyms in kelowna,LiftWell Fitness & Rehabilitation,(236) 420-6032,https://www.instagram.com/liftwellkelowna/,"360 Spedding Ct #1, Kelowna, BC V1X 7K9", stars,N/A,https://www.google.com/maps/place/LiftWell+Fitness+%26+Rehabilitation/data=!4m7!3m6!1s0x537d8d74c7f3ff13:0x29ccb008c7328b10!8m2!3d49.885003!4d-119.4218333!16s%2Fg%2F11xcl8xf_r!19sChIJE__zx3SNfVMREIsyxwiwzCk?authuser=0&hl=en&rclk=1
gyms in kelowna,Preta Academy,(250) 309-8226,https://pretaacademy.ca/,"991 Ellis St, Kelowna, BC V1Y 1Z3", stars,N/A,https://www.google.com/maps/place/Preta+Academy/data=!4m7!3m6!1s0x537df3acf00f1b83:0x132d0c8595f1bbde!8m2!3d49.8973916!4d-119.4932707!16s%2Fg%2F11s46ts0kn!19sChIJgxsP8KzzfVMR3rvxlYUMLRM?authuser=0&hl=en&rclk=1
gyms in kelowna,Play OKGN Health and Fitness Coaching,(250) 550-9856,N/A,"1455 Benzer Ct, Kelowna, BC V1V 2Y1", stars,N/A,https://www.google.com/maps/place/Play+OKGN+Health+and+Fitness+Coaching/data=!4m7!3m6!1s0x537df32a58c04f3f:0xd3ffc9793b1bce99!8m2!3d49.9027599!4d-119.4666701!16s%2Fg%2F11h52rt45q!19sChIJP0_AWCrzfVMRmc4bO3nJ_9M?authuser=0&hl=en&rclk=1
